id,start_time,end_time,type,order,image_url
1,0,25,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s1.png
2,26,59,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s2.png
3,60,132,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s3.png
4,133,177,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s4.png
5,178,183,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s5.png
6,184,193,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
7,194,199,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
8,200,214,s,8,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
9,215,219,s,9,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
10,220,224,s,10,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
11,225,234,s,11,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
12,235,237,s,12,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
13,238,243,s,13,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
14,244,254,s,14,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
15,255,277,s,15,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
16,278,286,s,16,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
17,287,293,s,17,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
18,294,298,s,18,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
19,299,300,s,19,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
20,301,302,s,20,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
21,303,312,s,21,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
22,313,327,s,22,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
23,328,353,s,14,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
24,354,367,s,21,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
25,368,372,s,22,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
26,373,417,s,23,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
27,418,441,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
28,442,460,s,15,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
29,461,471,s,21,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
30,472,497,s,23,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
31,498,592,s,24,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
32,593,607,q,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
33,608,752,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
