order,start_time,end_time,type,id,image_url
1,0,14,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s1.png
2,15,76,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s2.png
4,77,166,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s4.png
1,167,207,d,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_d1.png
3,208,275,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s3.png
4,276,292,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s4.png
5,293,364,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s5.png
6,365,409,s,8,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s6.png
2,410,496,d,9,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_d2.png
8,497,519,s,10,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s8.png
9,520,598,s,11,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s9.png
10,599,689,s,12,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s10.png
11,690,726,s,13,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s11.png
1,727,749,q,14,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_q1.png
12,750,792,s,15,http://duypnguyen.hostingsiteforfree.com/moocs/images/week6-2_s12.png
